domain,model,state,lead_day,rmse_mean,n_cases
combined_nsr,Three-model mean,miz,3,0.07463619453465424,282
combined_nsr,Three-model mean,miz,4,0.0879051916227808,282
combined_nsr,Three-model mean,miz,5,0.09885338223395351,282
combined_nsr,Three-model mean,miz,6,0.10865801160168925,282
combined_nsr,Three-model mean,miz,7,0.11740090820198802,282
combined_nsr,Three-model mean,miz,8,0.12535046952513648,282
combined_nsr,Three-model mean,miz,9,0.1330095950031967,282
combined_nsr,Three-model mean,miz,10,0.14039120688171114,282
combined_nsr,Three-model mean,miz,11,0.1465263946450353,282
combined_nsr,Three-model mean,miz,12,0.1531433136520299,282
combined_nsr,Three-model mean,miz,13,0.15854666442879561,282
combined_nsr,Three-model mean,miz,14,0.16338046368045853,282
combined_nsr,Three-model mean,miz,15,0.16855598869082758,282
combined_nsr,Three-model mean,miz,16,0.17376358435742711,282
combined_nsr,Three-model mean,miz,17,0.17859017914298528,282
combined_nsr,Three-model mean,miz,18,0.18388501601191373,282
combined_nsr,Three-model mean,miz,19,0.18879725247465856,282
combined_nsr,Three-model mean,miz,20,0.19330136544563273,282
combined_nsr,Three-model mean,miz,21,0.19779038199580073,282
combined_nsr,Three-model mean,miz,22,0.2016490818274899,282
combined_nsr,Three-model mean,miz,23,0.20587898705005228,282
combined_nsr,Three-model mean,miz,24,0.20996478674921742,282
combined_nsr,Three-model mean,miz,25,0.21461692212440198,282
combined_nsr,Three-model mean,miz,26,0.21934883969826457,282
combined_nsr,Three-model mean,miz,27,0.22412087681883874,282
combined_nsr,Three-model mean,miz,28,0.22868612056479698,282
combined_nsr,Three-model mean,miz,29,0.23265537939233796,282
combined_nsr,Three-model mean,miz,30,0.2368960577473085,282
combined_nsr,Three-model mean,open_water,1,0.01504710965939624,282
combined_nsr,Three-model mean,open_water,2,0.022424405045920578,282
combined_nsr,Three-model mean,open_water,3,0.02905639828194288,282
combined_nsr,Three-model mean,open_water,4,0.03525187873679436,282
combined_nsr,Three-model mean,open_water,5,0.04140847118786324,282
combined_nsr,Three-model mean,open_water,6,0.04704265168378864,282
combined_nsr,Three-model mean,open_water,7,0.052581409017762544,282
combined_nsr,Three-model mean,open_water,8,0.05703100107214389,282
combined_nsr,Three-model mean,open_water,9,0.060908814397416085,282
combined_nsr,Three-model mean,open_water,10,0.0640429342778804,282
combined_nsr,Three-model mean,open_water,11,0.06723421256517233,282
combined_nsr,Three-model mean,open_water,12,0.06982518992877003,282
combined_nsr,Three-model mean,open_water,13,0.07283233815897334,282
combined_nsr,Three-model mean,open_water,14,0.07631458315322306,282
combined_nsr,Three-model mean,open_water,15,0.0790052798966381,282
combined_nsr,Three-model mean,open_water,16,0.0811657619010882,282
combined_nsr,Three-model mean,open_water,17,0.08395127183143698,282
combined_nsr,Three-model mean,open_water,18,0.0857559549888383,282
combined_nsr,Three-model mean,open_water,19,0.08779289422858384,282
combined_nsr,Three-model mean,open_water,20,0.09002996879305974,282
combined_nsr,Three-model mean,open_water,21,0.0920659577347804,282
combined_nsr,Three-model mean,open_water,22,0.09349542440645783,282
combined_nsr,Three-model mean,open_water,23,0.0953104946941826,282
combined_nsr,Three-model mean,open_water,24,0.0971034116786075,282
combined_nsr,Three-model mean,open_water,25,0.09827940710712631,282
combined_nsr,Three-model mean,open_water,26,0.09874219167450225,282
combined_nsr,Three-model mean,open_water,27,0.1003783803001724,282
combined_nsr,Three-model mean,open_water,28,0.1017498567046061,282
combined_nsr,Three-model mean,open_water,29,0.1031085281730076,282
combined_nsr,Three-model mean,open_water,30,0.10412377789593255,282
combined_nsr,U-Net,compact_ice,1,0.029408436324492665,282
combined_nsr,U-Net,compact_ice,2,0.04649713576365342,282
combined_nsr,U-Net,compact_ice,3,0.05940514366264067,282
combined_nsr,U-Net,compact_ice,4,0.07072198385211603,282
combined_nsr,U-Net,compact_ice,5,0.07944284193879,282
combined_nsr,U-Net,compact_ice,6,0.08916604031693827,282
combined_nsr,U-Net,compact_ice,7,0.09699169165267783,282
combined_nsr,U-Net,compact_ice,8,0.1079137870283451,282
combined_nsr,U-Net,compact_ice,9,0.11786804630913036,282
combined_nsr,U-Net,compact_ice,10,0.13024759614638043,282
combined_nsr,U-Net,compact_ice,11,0.13635415743695783,282
combined_nsr,U-Net,compact_ice,12,0.14586540751548477,282
combined_nsr,U-Net,compact_ice,13,0.1539326024042459,282
