model,domain,lead_day,metric,mean,ci_lower,ci_upper,n_initializations,bootstrap_reps,block_days,seed_base,lead_seed
CNN,east_siberian,23,rmse,0.128803455182182,0.0985349594476139,0.1528438057987865,282,5000,7,20260816,20260839
CNN,east_siberian,24,rmse,0.1316106946569314,0.0997887380901814,0.1558622115636423,282,5000,7,20260816,20260840
CNN,east_siberian,25,rmse,0.1346364004885177,0.1018967125633102,0.1590763805582859,282,5000,7,20260816,20260841
CNN,east_siberian,26,rmse,0.1380436237408021,0.1044186673083471,0.1631387059807612,282,5000,7,20260816,20260842
CNN,east_siberian,27,rmse,0.1414034391572135,0.1063909113291264,0.1680323319908853,282,5000,7,20260816,20260843
CNN,east_siberian,28,rmse,0.1452558916516471,0.1089614612265275,0.1713675878958241,282,5000,7,20260816,20260844
CNN,east_siberian,29,rmse,0.1494734080260983,0.1125250193163865,0.1772065761904192,282,5000,7,20260816,20260845
CNN,east_siberian,30,rmse,0.15429087781018,0.1155099028949697,0.1832065674216739,282,5000,7,20260816,20260846
CNN,chukchi,1,rmse,0.0216558253380434,0.0163954593290828,0.0254299890307598,282,5000,7,20260816,20260817
CNN,chukchi,2,rmse,0.0321091225435321,0.0233663744620896,0.0385199211295334,282,5000,7,20260816,20260818
CNN,chukchi,3,rmse,0.0394076707856882,0.0282234547928376,0.0477569353354012,282,5000,7,20260816,20260819
CNN,chukchi,4,rmse,0.0454728925860495,0.031917844048138,0.0559572137873111,282,5000,7,20260816,20260820
CNN,chukchi,5,rmse,0.0508628235163253,0.035517269853171,0.0630942076614921,282,5000,7,20260816,20260821
CNN,chukchi,6,rmse,0.0557669636186635,0.0385961679545142,0.0696887009440961,282,5000,7,20260816,20260822
CNN,chukchi,7,rmse,0.0605879074122985,0.0417716972858582,0.0760374488848278,282,5000,7,20260816,20260823
CNN,chukchi,8,rmse,0.0654746726094782,0.0447680145522142,0.0825812573320751,282,5000,7,20260816,20260824
